customer_id,name,email,phone,sign_up_date,country
CUST_0001,Customer Name 1,customer_1@example.com,+1-043-321-8196,2025-01-16,France
CUST_0002,Customer Name 2,customer_2@example.com,838.637.9402,24-Jun-2025,Australia
CUST_0003,Customer Name 3,customer_3@example.com,+1-161-559-4078,2025-07-13,Australia
CUST_0004,Customer Name 4,customer_4@example.com,593.103.4131,2025/05/23,UK
CUST_0005,Customer Name 5,customer_5@example.com,534.192.8327,05/19/2025,Australia
CUST_0006,Customer Name 6,customer_6@example.com,(030) 564-1395,2025/12/02,India
CUST_0007,Customer Name 7,customer_7@example.com,4238849696,04/23/2025,USA
CUST_0008,Customer Name 8,customer_8@example.com,1226916697,2025-10-11,USA
CUST_0009,Customer Name 9,customer_9@example.com,(845) 146-2704,2025-09-17,UK
CUST_0010,Customer Name 10,customer_10@example.com,8932528809,2025-09-08,UK
CUST_0011,Customer Name 11,customer_11@example.com,(430) 391-1718,2025/03/07,Canada
CUST_0012,Customer Name 12,customer_12@example.com,963.834.6578,03/03/2025,UK
CUST_0013,Customer Name 13,,8393010310,02/06/2025,Germany
CUST_0014,Customer Name 14,customer_14@example.com,299.737.6311,2025/07/01,Australia
CUST_0015,Customer Name 15,customer_15@example.com,(106) 513-3387,08/05/2025,Canada
CUST_0016,Customer Name 16,customer_16@example.com,178.108.0132,2025/09/06,Germany
CUST_0017,Customer Name 17,customer_17@example.com,(260) 647-4687,08-Apr-2025,USA
CUST_0018,Customer Name 18,customer_18@example.com,+1-805-009-7882,2025-09-18,USA
CUST_0019,Customer Name 19,customer_19@example.com,361.939.9091,03-Dec-2025,Canada
CUST_0020,Customer Name 20,customer_20@example.com,534.624.7510,2025-11-15,Canada
CUST_0021,Customer Name 21,customer_21@example.com,+1-251-354-2784,08-Dec-2025,USA
CUST_0022,Customer Name 22,customer_22@example.com,2411824493,15-Apr-2025,UK
CUST_0023,Customer Name 23,customer_23@example.com,016.400.5242,2025/10/10,USA
CUST_0024,Customer Name 24,,2805982620,2025-07-06,Canada
